status,category,relative_folder,image_count,product_id,product_code,product_name,confidence,files
"matched","Pamplet-Posters","Pamplet-Posters\Poster","1","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","Thumbnail.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Poster\Posters - 20.20","2","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Poster\Posters - 18.23","2","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Poster\Posters - 15.20","2","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Pamphlet","1","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","Thumbnail.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Pamphlet\Pamphlet - 90 GSM Art Paper","3","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg | 3.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Pamphlet\Pamphlet - 70 GSM Maplitho Paper","3","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg | 3.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Pamphlet\Pamphlet - 170 GSM Art Paper","2","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg"
"matched","Pamplet-Posters","Pamplet-Posters\Pamphlet\Pamphlet - 115 GSM Art Paper","3","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","1.jpg | 2.jpg | 3.jpg"
"matched","Garments and Tags","Garments and Tags\Thread","1","87de5fdd-ed41-457a-b288-40b54bd04653","GAR-THR-001","Threads","0.880","download.jpg"
"matched","Garments and Tags","Garments and Tags\Thread\Type B - Slim","1","87de5fdd-ed41-457a-b288-40b54bd04653","GAR-THR-001","Threads","0.880","download.jpg"
"matched","Garments and Tags","Garments and Tags\Matt","1","5af8e95f-5762-4a95-be49-2b0c487e2171","GAR-MAT-001","Matte Lamination Tag","0.880","download.jpg"
"matched","Garments and Tags","Garments and Tags\Matt\Matt Lamination Tags","2","5af8e95f-5762-4a95-be49-2b0c487e2171","GAR-MAT-001","Matte Lamination Tag","0.880","1.jpg | 2.jpg"
"matched","Garments and Tags","Garments and Tags\Gloss","1","faf6701c-af91-44a5-b38a-04431e782033","GAR-GLS-001","Gloss Coated Tag","0.880","Thumbnail.jpg"
"matched","Garments and Tags","Garments and Tags\Gloss\Glass Coated Tags","2","faf6701c-af91-44a5-b38a-04431e782033","GAR-GLS-001","Gloss Coated Tag","0.880","1.jpg | 2.jpg"
"matched","Garments and Tags","Garments and Tags\800 GSM + Matt","1","b3b3e539-23df-45f7-8df6-4b376793c9b8","VIS-800-MATTE","800 GSM + Matte","0.880","download.jpg"
